epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,70933.5,0.92481,0.54781,0.94634,0.80546,0.74118,0.72328,0.40481,0.45619,4.33941,0.49562,0.000544625,0.000544625,0.000544625
59,71037,0.8932,0.55101,0.93976,0.76669,0.68632,0.66263,0.39855,0.45339,11.5487,0.49174,0.00053225,0.00053225,0.00053225
60,71146.9,0.90488,0.56309,0.94196,0.74119,0.73597,0.67829,0.37614,0.47592,3.74127,0.49708,0.000519875,0.000519875,0.000519875
61,71256.5,0.88163,0.5298,0.93032,0.74659,0.64014,0.64964,0.37573,0.48593,3.40752,0.49804,0.0005075,0.0005075,0.0005075
62,71360.2,0.87367,0.54233,0.93,0.69857,0.76629,0.68501,0.38333,0.46406,16.0437,0.49588,0.000495125,0.000495125,0.000495125
63,71459.6,0.88019,0.53512,0.92587,0.74297,0.71609,0.68653,0.36976,0.45102,8.91806,0.49369,0.00048275,0.00048275,0.00048275
64,71559.9,0.9046,0.5439,0.9472,0.699,0.65023,0.59849,0.35003,0.45446,13.9954,0.4929,0.000470375,0.000470375,0.000470375
65,71660.1,0.87034,0.53916,0.946,0.73992,0.79489,0.70231,0.38131,0.45723,7.97061,0.49351,0.000458,0.000458,0.000458
66,71759.2,0.88532,0.54718,0.94889,0.71598,0.75152,0.6845,0.38662,0.45573,4.61463,0.49288,0.000445625,0.000445625,0.000445625
67,71858.4,0.83974,0.51688,0.92504,0.71581,0.72463,0.65907,0.38526,0.46144,7.159,0.48981,0.00043325,0.00043325,0.00043325
68,71956.8,0.8499,0.51115,0.91916,0.70989,0.69391,0.62002,0.36067,0.47388,3.03787,0.49438,0.000420875,0.000420875,0.000420875
69,72056.1,0.90361,0.54348,0.93713,0.75863,0.72252,0.6934,0.37864,0.4761,5.19565,0.49457,0.0004085,0.0004085,0.0004085
70,72155.8,0.85967,0.52521,0.93161,0.7198,0.72075,0.65267,0.36768,0.46584,4.18765,0.49262,0.000396125,0.000396125,0.000396125
71,72255.8,0.86919,0.50671,0.92087,0.7137,0.78418,0.66952,0.37513,0.47615,3.75671,0.49948,0.00038375,0.00038375,0.00038375
72,72354.3,0.84933,0.49899,0.9232,0.73969,0.8042,0.72142,0.39252,0.47598,4.78602,0.49172,0.000371375,0.000371375,0.000371375
73,72452.7,0.85623,0.50921,0.92742,0.73116,0.74172,0.67955,0.38738,0.47686,3.4913,0.49345,0.000359,0.000359,0.000359
74,72552.9,0.84429,0.50811,0.91585,0.7948,0.69037,0.68455,0.37292,0.47482,3.34012,0.49193,0.000346625,0.000346625,0.000346625
75,72651.6,0.86166,0.48237,0.92064,0.78427,0.7436,0.71728,0.38176,0.47162,2.85692,0.49659,0.00033425,0.00033425,0.00033425
76,72751.1,0.86552,0.5328,0.93101,0.74337,0.8088,0.71769,0.39342,0.46119,3.04671,0.49791,0.000321875,0.000321875,0.000321875
77,72850.7,0.85469,0.50393,0.941,0.76725,0.76642,0.7292,0.40166,0.45249,6.42806,0.4934,0.0003095,0.0003095,0.0003095
